# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2043
#@/user_id	Home-PC
a 	啊	c=0 d=0.000171216 t=2043
han yi 	漢儀	c=3 d=2.93087 t=2043
hang 	行	c=0 d=5.67086e-05 t=2043
hang wei 	行尾	c=2 d=0.00142063 t=2043
hang wei fu hao 	行尾符號	c=1 d=0.000569928 t=2043
hao 	好	c=2 d=0.999257 t=2043
hao 	號	c=1 d=0.460704 t=2043
hao le 	好了	c=1 d=0.621885 t=2043
he 	和	c=12 d=1.74658 t=2043
hen 	很	c=1 d=0.000133021 t=2043
hen da 	很大	c=1 d=0.0115047 t=2043
hen duo 	很多	c=1 d=0.0116786 t=2043
hen kuai 	很快	c=0 d=0.0591555 t=2043
hen kuai ba 	很快吧	c=1 d=0.594521 t=2043
hen qi guai 	很奇怪	c=2 d=0.000233223 t=2043
hen shao 	很少	c=1 d=0.000812821 t=2043
hou 	後	c=1 d=0.187308 t=2043
hou you 	後又	c=1 d=0.000645813 t=2043
hu 	胡	c=1 d=0.00030659 t=2043
hua 	話	c=2 d=0.641215 t=2043
huan 	換	c=1 d=0.0160829 t=2043
huan ge 	換個	c=0 d=0.0704688 t=2043
huan le 	換了	c=1 d=0.0101022 t=2043
hui 	會	c=3 d=0.19938 t=2043
hui 	灰	c=1 d=0.00155699 t=2043
hui ba 	會把	c=1 d=0.0228227 t=2043
hui bu hui 	會不會	c=2 d=0.0210288 t=2043
hui dao zhi 	會導致	c=1 d=0.000130387 t=2043
hui fang 	回放	c=5 d=0.0211836 t=2043
hui fang 	回訪	c=5 d=0.00675848 t=2043
huo 	或	c=1 d=0.494109 t=2043
huo qu 	獲取	c=8 d=1.95148 t=2043
huo zhe 	或者	c=2 d=0.000275987 t=2043
ji ben 	基本	c=1 d=0.00491728 t=2043
ji liang 	計量	c=0 d=0.00925506 t=2043
ji lu 	記錄	c=1 d=0.00120654 t=2043
ji ou 	奇偶	c=0 d=5.82947e-06 t=2043
ji shi 	計時	c=1 d=6.5727e-05 t=2043
ji shu 	技術	c=1 d=0.000902809 t=2043
ji suan 	計算	c=4 d=0.0132773 t=2043
ji suan qi 	計算器	c=3 d=0.473685 t=2043
ji xu 	繼續	c=2 d=0.116756 t=2043
ji zhong 	幾種	c=1 d=0.000252273 t=2043
ji zhong 	集中	c=0 d=2.49763e-05 t=2043
jia gou 	架構	c=2 d=0.000559092 t=2043
jia huo 	傢伙	c=0 d=4.55097e-05 t=2043
jia le 	加了	c=1 d=0.897684 t=2043
jia le ge 	加了個	c=1 d=0.371577 t=2043
jian 	建	c=2 d=0.00283159 t=2043
jian ce 	監測	c=1 d=0.0143357 t=2043
jian fei 	減肥	c=1 d=0.000141247 t=2043
jian hua zi 	簡化字	c=1 d=0.869358 t=2043
jian jie 	間接	c=1 d=0.83527 t=2043
jian kong 	監控	c=2 d=0.00429038 t=2043
jian quan 	鑑權	c=9 d=0.618579 t=2043
jian quan ma 	鑑權嗎	c=1 d=0.0658748 t=2043
jian rong 	兼容	c=1 d=0.0208584 t=2043
jian ti 	簡體	c=1 d=0.856415 t=2043
jian ting 	監聽	c=5 d=0.120076 t=2043
jiang 	將	c=6 d=0.0135453 t=2043
jiao ben 	腳本	c=2 d=0.00261739 t=2043
jiao ben er bu neng 	腳本而不能	c=1 d=0.00130703 t=2043
jiao cheng 	教程	c=1 d=9.85447e-05 t=2043
jiao yan 	校驗	c=1 d=0.0523397 t=2043
jiao yan ma 	校驗碼	c=2 d=1.83712 t=2043
jie dian 	節點	c=1 d=0.00135358 t=2043
jie gou 	結構	c=2 d=0.101694 t=2043
jie gou ti 	結構體	c=1 d=0.164474 t=2043
jie guo 	結果	c=1 d=0.00612731 t=2043
jie guo shi 	結果是	c=1 d=0.00644146 t=2043
jie jue 	解決	c=1 d=0.00343067 t=2043
jie shi 	解釋	c=0 d=0.000615802 t=2043
jie shi yi xia 	解釋一下	c=1 d=0.00618889 t=2043
jie shu 	結束	c=3 d=0.00258944 t=2043
jie xi 	解析	c=5 d=0.077513 t=2043
jie yin 	解引	c=1 d=0.965605 t=2043
jin 	進	c=2 d=0.281982 t=2043
jin mang qu 	進盲區	c=1 d=0.13332 t=2043
jin ru 	進入	c=1 d=0.0225956 t=2043
jin xing 	進行	c=4 d=0.00470547 t=2043
jing tai 	靜態	c=3 d=0.66481 t=2043
jiu 	就	c=9 d=1.62163 t=2043
jiu kan 	就看	c=1 d=0.0104621 t=2043
jiu shi 	就是	c=3 d=0.0270986 t=2043
